NAME	DESCRIPTION	HMDA-HMDA-_1	HMDA-HMDA-_2	HMDA-HMDA-_3	HMDA-M9-_1	HMDA-M9-_2	HMDA-M9-_3	MG1655-HMDA-_1	MG1655-HMDA-_2	MG1655-HMDA-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
hycE	b2721	3.48601	2.84881	2.37475	3.70811	6.62953	7.18209	3.57995	2.0834599999999996	3.37132	2.47039	1.67091	1.60848
hycD	b2722	5.32189	6.31261	6.70839	4.54389	4.46042	3.53718	7.92898	1.53867	2.23582	2.85661	3.72036	1.21043
ybeR	b0645	0.8797219999999999	1.7203400000000002	1.8631400000000002	0.845518	1.64372	0.9935639999999999	0.0	0.36788899999999997	0.7398859999999999	0.6917449999999999	1.02555	0.728191
hycB	b2724	0.538417	2.22792	1.22669	1.82312	0.529115	1.97475	0.816364	0.0	0.656826	0.61011	0.70781	2.4537400000000003
hycC	b2723	2.38769	3.82756	5.0418	3.6364099999999997	2.90386	3.51243	2.7828	1.9462	3.23794	1.7722	1.8108099999999998	0.741369
hycA	b2725	0.513285	0.577684	1.86735	0.0	0.0	1.9424599999999999	0.0	0.0	0.0	1.17666	0.0	0.606054
ygbA	b2732	5.01543	3.19833	7.327310000000001	17.2031	7.979839999999999	20.18	16.7904	16.597	6.03214	7.9789	9.12615	16.5293
ygbI	b2735	44.4946	34.0254	49.7548	61.6578	45.2971	53.7768	67.2323	69.7523	68.8792	41.6381	50.5208	48.638000000000005
rpoS	b2741	1595.95	1396.1	1378.98	1769.4	1178.88	2140.37	1791.11	2620.56	2966.57	1859.22	1266.63	2084.11
nlpD	b2742	1374.91	905.4839999999999	936.0189999999999	915.635	760.59	859.893	1739.38	1223.59	1497.7	1145.47	1086.19	1062.71
pcm	b2743	175.34900000000002	193.465	143.737	187.923	179.355	250.787	162.32	201.429	198.81799999999998	161.741	146.878	176.235
umpG	b2744	259.013	258.719	273.161	244.482	248.084	260.448	220.084	227.803	208.486	231.563	233.332	231.262
truD	b2745	321.605	328.504	312.575	276.42900000000003	297.347	299.27299999999997	281.839	254.937	277.915	271.897	261.358	279.188
djlC	b0649	12.3095	12.4077	9.62172	12.4169	13.0179	19.8784	5.6505	6.68267	7.165780000000001	8.84453	7.33184	8.20525
ispF	b2746	180.763	265.35200000000003	221.202	213.889	232.373	275.154	171.727	166.533	203.104	206.986	207.125	251.701
ispD	b2747	151.028	191.908	139.85399999999998	102.96700000000001	168.40900000000002	142.19799999999998	132.382	78.2011	94.7269	164.83	149.763	140.847
ftsB	b2748	253.732	240.50400000000002	324.857	133.726	235.468	198.11599999999999	201.275	126.244	128.293	204.635	245.359	208.347
ygbE	b2749	331.671	321.372	339.369	101.31299999999999	148.67	90.4857	296.377	163.674	124.48	141.463	181.218	180.547
cysN	b2751	1048.81	1066.11	968.971	551.81	853.5110000000001	419.76300000000003	1054.59	1734.37	1596.56	506.63	417.12800000000004	1167.7
cysC	b2750	344.24199999999996	331.495	318.15	175.077	378.156	142.615	360.952	334.306	390.952	260.94599999999997	253.202	536.491
cysD	b2752	2552.51	2102.09	2694.22	1067.66	1230.59	491.69	3492.52	2290.46	2536.79	915.255	1002.89	1876.33
ygbF	b2754	24.9929	23.4799	26.5314	34.6616	32.0026	61.8371	14.5746	29.8927	33.3135	17.6461	23.185	34.2313
ygbT	b2755	11.6349	12.0092	15.0917	23.1755	25.2756	39.0138	15.3839	17.1898	16.4376	19.6637	18.8839	18.5288
casD	b2757	14.5901	13.370999999999999	10.6705	36.9645	28.08	57.6988	16.558	16.3579	15.5829	17.9425	20.3083	20.7537
yabI	b0065	135.079	134.74	115.59899999999999	56.9525	71.3522	75.8586	117.12200000000001	71.7231	84.4758	65.2674	59.5428	47.3139
ybeU	b0648	2.5375900000000002	3.50785	4.19811	5.72864	4.67034	5.596430000000001	1.53004	1.9507299999999999	1.0894	2.17393	0.987665	0.572281
casE	b2756	20.5465	16.7198	20.0812	55.1406	37.6048	70.9517	34.643	31.0226	26.0411	26.5486	26.9908	29.7095
casC	b2758	5.44212	9.85045	9.190669999999999	22.4622	20.3541	37.1953	7.835489999999999	11.3738	9.59833	9.13766	9.78503	10.8815
casA	b2760	5.7556199999999995	3.3988099999999997	4.42516	9.09783	9.3263	12.8582	3.4885099999999998	3.07725	2.8706099999999997	3.2185599999999996	4.24571	4.89654
casB	b2759	16.5436	12.8337	25.2381	37.1034	23.9124	50.1401	25.1171	6.3185	9.350660000000001	20.5918	22.3701	21.9348
ygcB	b2761	9.0893	10.2762	10.5326	9.95633	10.4393	10.9785	4.81266	7.75805	5.525440000000001	4.264530000000001	4.83019	5.6282
cysH	b2762	1451.47	1454.21	1527.63	498.92400000000004	1066.78	374.55199999999996	1172.81	1202.63	1232.92	708.122	704.077	1440.23
cysJ	b2764	1168.52	1267.69	1227.29	597.816	981.002	330.38300000000004	1214.49	1102.39	1150.85	573.5269999999999	543.8290000000001	1114.33
cysI	b2763	1188.79	1282.26	1253.73	608.075	1028.37	337.286	1290.38	1402.8	1451.68	624.741	580.487	1224.83
ygcS	b2771	2.07697	1.8337900000000003	2.51777	2.95681	4.13609	5.16405	1.70669	1.3986	0.9694229999999999	1.49505	0.46056	1.34625
ygcR	b2770	4.85839	2.67767	7.37835	6.0027099999999995	6.4735	10.0669	5.74901	2.93589	3.50065	4.9214	6.1413	3.02903
ubiF	b0662	122.69	135.484	102.54799999999999	233.231	109.85700000000001	184.33900000000003	156.92700000000002	189.415	176.095	156.998	132.094	152.38299999999998
ygcQ	b2769	7.103160000000001	6.3344	6.17744	8.35336	8.57033	11.901	4.73984	4.07155	6.18762	3.90219	1.52552	4.4397
ygcU	b4463	6.896160000000001	6.581189999999999	7.50592	6.30028	6.572030000000001	5.47673	2.9281	2.70625	2.6269400000000003	3.32404	3.14692	2.4734599999999998
ygcW	b2774	2.01843	2.13056	2.8586099999999997	4.2299	2.71509	2.67318	0.809655	1.25242	0.952559	0.0	0.331879	1.2978100000000001
queE	b2777	50.7941	71.4537	49.6003	49.6644	51.6847	52.2407	42.7515	50.5039	52.4833	36.3025	42.0384	33.0561
eno	b2779	3290.95	4142.71	4230.59	5191.74	7378.77	4523.92	2758.42	3454.62	3540.68	3113.37	3015.97	3514.45
pyrG	b2780	1115.43	1099.65	1349.33	889.012	1498.86	603.135	835.2760000000001	633.971	713.466	909.6389999999999	1073.61	944.96
mazG	b2781	150.321	149.065	143.921	204.835	203.019	247.676	114.272	88.8872	107.141	106.219	109.56700000000001	130.03
mazE	b2783	288.267	231.755	238.024	227.606	274.51599999999996	293.064	278.404	216.97400000000002	217.308	201.37	181.821	207.89700000000002
mazF	b2782	105.596	131.186	114.09100000000001	139.389	218.363	253.687	90.7725	111.912	79.8865	98.8757	95.4874	122.551
relA	b2784	192.542	195.22400000000002	197.87099999999998	178.87900000000002	203.873	203.817	150.696	184.641	175.25900000000001	161.304	138.836	181.076
nagE	b0679	69.2546	68.4775	74.0037	192.054	172.43099999999998	202.037	101.82700000000001	128.191	139.56799999999998	108.352	103.189	109.96700000000001
rlmD	b2785	20.5021	22.7327	18.1206	28.4927	36.7122	37.0271	28.9663	41.6495	38.6944	33.9554	39.0915	43.1187
gudD	b2787	18.1464	13.7827	13.8115	29.044	15.9748	39.7531	17.3875	13.7478	17.5311	9.580910000000001	10.3767	10.3979
gudX	b2788	7.70211	8.044830000000001	7.217739999999999	4.43277	5.1523	6.95073	4.57142	3.7781800000000003	4.6304300000000005	3.41511	2.07329	3.75735
gudP	b2789	4.34321	3.4432300000000002	4.8150699999999995	3.13409	3.31261	4.29012	2.56534	2.6629	2.762	1.42087	2.94842	1.00195
yqcA	b2790	123.78399999999999	160.487	106.675	263.432	155.058	300.671	83.8481	202.34900000000002	179.688	132.00799999999998	86.6474	162.529
yqcC	b2792	87.1789	92.6031	85.9472	60.0671	112.723	34.4325	51.7302	30.9649	36.6239	67.0652	67.872	71.3659
truC	b2791	64.76	51.591	50.9438	34.4607	69.8446	33.1705	61.2209	34.2156	40.6791	46.6392	70.4674	55.3344
syd	b2793	156.835	146.341	207.412	152.33100000000002	109.919	159.326	122.13799999999999	110.031	125.60700000000001	144.546	181.41099999999997	146.654
fucO	b2799	12.9113	10.4882	10.8753	16.2885	17.9184	20.8121	15.5445	27.2733	26.5925	8.36369	9.77259	9.98376
fucA	b2800	9.70473	7.955239999999999	10.856	15.0452	6.57707	11.5726	6.77177	7.485539999999999	10.7299	2.68637	4.8405	6.2115
glnS	b0680	320.086	374.392	360.546	352.963	529.009	371.985	333.809	371.60400000000004	363.01099999999997	391.6	378.86199999999997	466.038
ygdD	b2807	70.9525	75.5276	52.6157	102.02600000000001	115.05	104.035	48.6023	43.3445	69.6738	80.7643	64.1754	65.5682
rlmM	b2806	89.9014	108.167	81.9112	112.86399999999999	150.851	144.167	98.336	81.6283	88.7484	96.0912	90.8972	94.3935
gcvA	b2808	50.2624	45.5539	48.5473	47.2408	53.0241	52.511	52.2106	63.1475	59.9454	46.3234	44.7372	54.5983
ygdI	b2809	543.268	645.1990000000001	532.222	203.283	84.8302	651.868	472.727	1211.51	1122.61	406.115	350.657	516.447
tcdA	b2812	133.217	171.356	129.929	124.861	195.644	172.21400000000003	66.3983	83.5282	74.539	72.9586	56.537	73.6793
mltA	b2813	105.735	154.49	118.116	78.9816	253.757	126.90100000000001	76.7902	80.6136	73.2588	83.6597	83.7614	118.68799999999999
amiC	b2817	179.179	193.549	185.78900000000002	45.3509	104.633	57.9799	172.30900000000003	86.1052	102.22200000000001	55.6552	53.8591	75.1583
recB	b2820	54.847	67.4356	59.0019	34.7686	41.6189	37.1282	59.8581	78.8605	79.6436	55.776	51.2404	55.3598
recD	b2819	38.685	42.1287	37.1793	28.6594	28.4134	31.6273	53.2547	61.9986	71.1325	40.844	41.3998	50.1378
ptrA	b2821	45.5182	43.7283	48.8212	37.5294	44.2666	44.4025	52.5125	66.7179	65.1679	40.3897	44.4039	43.0273
chiP	b0681	3.18689	2.11315	1.3908	3.9027300000000005	5.07535	3.8411199999999996	3.3872400000000003	2.2886900000000003	3.7432800000000004	2.11269	1.54225	1.3676
recC	b2822	70.7751	70.4114	71.2451	44.3111	53.2222	49.7016	80.6833	85.9468	86.2536	53.4686	52.5981	58.5484
ppdC	b2823	68.6683	52.2231	79.149	37.6428	24.9387	21.7511	98.3654	31.8577	26.0012	36.3226	41.7943	48.4575
ygdB	b2824	8.06527	12.4733	10.0549	7.6646600000000005	14.0977	15.159	9.90525	11.9787	12.272	13.280999999999999	6.29929	13.0416
ppdB	b2825	10.3477	14.4932	12.6638	8.91864	9.108419999999999	13.939	3.54789	14.7642	11.7303	5.737080000000001	4.66216	5.5568800000000005
