GENE	MEDIUM	MEDIUM:STRAIN	STRAIN	medium_direction	strain_direction	interaction_direction
murQ	7.370725880972984e-06	0.09065611702104659	0.07752911690623943	1.0	1.0	1.0
murP	0.0009224583425172517	0.22586675253116462	0.016475570870996048	-1.0	1.0	1.0
nhaR	0.0967213448672144	0.24445544435915445	0.8258417893934482	1.0	-1.0	-1.0
gmhA	0.01708759817913741	0.0024292705214652432	0.05277634795956576	-1.0	1.0	1.0
yfeW	0.01962971580416284	0.07729897681984213	0.0027305760685130687	-1.0	1.0	-1.0
amiA	0.011646051446162015	0.008253086886810507	0.06648068569047452	-1.0	1.0	1.0
hemF	0.0006438427122522627	0.02487057776265056	0.004792682826472994	-1.0	1.0	1.0
intZ	0.03575452295848702	0.1801360166173276	0.014244076878671907	1.0	1.0	-1.0
yffL	0.04315152283987517	0.0008570006713228828	0.01869394103509514	1.0	-1.0	-1.0
yffM	1.8510060521328136	0.8243965870227568	1.7230419811273148	1.0	1.0	-1.0
yffN	0.20630678052023677	0.011787976864103156	0.03269927238248771	1.0	-1.0	1.0
yffO	0.00025455420483067037	0.09778909781084222	0.41702975783867857	1.0	-1.0	-1.0
yffP	0.13347731957096898	0.00028357514007459894	0.1055860141741396	1.0	-1.0	-1.0
yffQ	0.18691970848055295	0.008662630286235817	0.015515781080609137	-1.0	1.0	1.0
yafJ	3.152282151172581e-05	0.0067007275519342935	0.004317811978294617	-1.0	1.0	-1.0
yffR	0.03894450135534844	0.009877709761360487	0.14999814176464876	-1.0	-1.0	-1.0
yffS	0.0027527903483632876	0.21565469625338363	0.22185056129271796	1.0	1.0	1.0
talA	0.6938418096301917	1.5563532995518496	7.774581738293861	-1.0	-1.0	-1.0
tktB	0.6917237403326055	1.1686070516282712	8.56327296245643	-1.0	-1.0	-1.0
narQ	0.16395654781338925	0.050843428145791625	0.1752903822198783	1.0	-1.0	1.0
acrD	0.059825027212851434	0.3447202457022011	0.01811591958944292	1.0	-1.0	-1.0
yffB	0.16895188718794962	2.091887990948899	0.40216193525681376	1.0	-1.0	1.0
dapE	0.08518517135872772	0.027554533911613444	0.051208620377211744	1.0	1.0	1.0
ypfN	0.10576029097652473	0.05472188128168809	0.021967341014288877	1.0	-1.0	1.0
gcvR	0.003200007854893272	9.469383894433747e-05	0.05534656562019169	-1.0	-1.0	1.0
yafL	0.02216375158226591	0.7274652639680317	0.8766994465617672	1.0	-1.0	-1.0
bcp	0.08929497534253983	0.7143474596937338	0.001173480821648809	1.0	1.0	1.0
hyfB	0.015166660205395255	1.3188136397926806	0.004152328962666374	-1.0	-1.0	-1.0
hyfA	0.0005738173623135445	1.506890802382261	0.11987523525839672	-1.0	1.0	-1.0
hyfC	0.10560711680950652	0.12408060807870047	1.1122298343727173	1.0	-1.0	-1.0
hyfD	0.013862347987638746	0.05322009405698003	0.02579258964238651	1.0	1.0	-1.0
hyfE	0.07721389925612132	0.37654512359376713	0.11687418207536404	-1.0	-1.0	-1.0
hyfF	0.001058614618591358	0.5804960702315932	0.0005610320946207725	-1.0	1.0	-1.0
hyfG	0.0004359872915575824	1.4158302416948356	0.012604749199837784	1.0	-1.0	-1.0
hyfI	0.08821210063043994	1.3108258106326274	0.028531840527328267	-1.0	-1.0	-1.0
hyfJ	0.07789597690477923	0.00727278111994345	0.057074003983653365	1.0	-1.0	-1.0
rayT	0.012262452256094514	0.0351831118704557	0.2573210696655306	1.0	1.0	-1.0
hyfH	0.06890545476046439	0.707734326733188	0.19480325606023907	-1.0	-1.0	-1.0
hyfR	0.01219583654972567	0.7364446120064397	0.0036690774377157176	1.0	1.0	-1.0
focB	0.28379760949598176	0.16130738689925805	0.18317379528455757	1.0	-1.0	-1.0
bepA	0.002240320581720856	0.0029924821284757347	0.0009195667593352441	1.0	1.0	1.0
yfgD	0.03763355826871706	0.09633008091222095	0.004068000032697583	1.0	1.0	1.0
purN	0.00037251169392504835	0.23806326267152045	0.05049017107239706	1.0	1.0	1.0
purM	0.015215526229665599	0.12269909108291799	0.026258173746018798	-1.0	1.0	1.0
ppk	0.052293378751812725	0.6839792479817688	0.12696401657538914	-1.0	1.0	-1.0
ppx	0.039543321987896896	0.3617896168261045	0.216951786302364	-1.0	1.0	-1.0
yfgG	0.08583201214971492	0.2456850840649425	0.41613362944964205	1.0	-1.0	-1.0
yfgH	0.015988887462015988	3.8878074611099236	0.4653051274127735	-1.0	1.0	-1.0
