evolved_compound,grown_compound,strain,repl,growth_rate,rel_growth_rate,growth_ratio,exp_name
coumarate,M9,COUM7-6,3,0.7645971670257405,0.2393191738581535,1.4556047977852369,COUM
coumarate,M9,COUM8-6,1,0.7938097457528741,0.26853175258528705,1.5112183569046143,COUM
coumarate,M9,COUM3-10,2,0.6180227019462906,0.09274470877870356,1.1765630960844649,COUM
NA,M9,MG1655,1,0.5251612978266744,-0.01595149607645907,0.9705209408164269,GLUT
glutarate,M9,GLUT1-9,1,0.4904339867724696,-0.050678807130663917,0.9063433581654768,GLUT
NA,M9,MG1655,2,0.5391822694138765,-0.0019305244892570128,0.9964323067001765,GLUT
glutarate,M9,GLUT1-9,2,0.5709856820882507,0.02987288818511724,1.055206397855869,GLUT
glutarate,M9,GLUT2-1,3,0.48095458868344126,-0.06015820521969223,0.8888250178197388,GLUT
glutarate,M9,GLUT3-5,1,0.5752279875590467,0.0341151936559132,1.0630463630509175,GLUT
glutarate,M9,GLUT3-9,2,0.5408761520913352,-0.00023664181179827715,0.9995626756298047,GLUT
glutarate,M9,GLUT4-4,3,0.5033577689171147,-0.03775502498601879,0.930227070194209,GLUT
glutarate,M9,GLUT5-5,1,0.5483425238642469,0.007229729961113374,1.0133608557080385,GLUT
glutarate,M9,GLUT6-4,2,0.5125873408827174,-0.02852545302041609,0.9472837209878971,GLUT
glutarate,M9,GLUT6-10,3,0.48109458936245086,-0.06001820454068263,0.8890837451693543,GLUT
glutarate,M9,GLUT7-7,1,0.5197537158642006,-0.021359078038932888,0.9605274939354761,GLUT
glutarate,M9,GLUT8-6,2,0.6915605109736074,0.15044771707047389,1.2780339307545665,GLUT
NA,M9,MG1655,3,0.5391059148466537,-0.0020068790564797823,0.9962912001359202,GLUT
glutarate,M9,GLUT1-9,3,0.5544284050641726,0.013315611161039076,1.024607829108958,GLUT
glutarate,M9,GLUT2-9,1,0.5018671899029482,-0.039245604000185286,0.9274724152849899,GLUT
glutarate,M9,GLUT3-5,2,0.5790014224712948,0.03788862856816133,1.0700198350419043,GLUT
glutarate,M9,GLUT3-9,3,0.5425866350210522,0.001473841117918706,1.0027237225482837,GLUT
glutarate,M9,GLUT4-10,1,0.5840646974670693,0.042951903563935856,1.0793769876592954,GLUT
glutarate,M9,GLUT5-5,2,0.6099802886503113,0.0688674947471778,1.1272701283782731,GLUT
glutarate,M9,GLUT6-4,3,0.5155009585208354,-0.025611835382298054,0.9526682132249068,GLUT
glutarate,M9,GLUT7-2,1,0.5078219621333735,-0.03329083176976,0.9384770936025595,GLUT
glutarate,M9,GLUT7-7,2,0.500978892260332,-0.040133901642801506,0.9258308025701828,GLUT
glutarate,M9,GLUT8-6,3,0.6860021836768002,0.14488938977366672,1.267761899933203,GLUT
NA,M9,MG1655,4,0.5567170307316939,0.01560423682856038,1.028837308975832,GLUT
glutarate,M9,GLUT1-10,1,0.6243824084570978,0.08326961455396431,1.1538858727647654,GLUT
glutarate,M9,GLUT2-9,2,0.525735378540975,-0.01537741536215853,0.9715818669685505,GLUT
glutarate,M9,GLUT3-5,3,0.556737271959462,0.015624478056328495,1.0288747156459315,GLUT
glutarate,M9,GLUT4-1,1,0.5008836204379605,-0.04022917346517296,0.9256547360948658,GLUT
glutarate,M9,GLUT4-10,2,0.5543736791988609,0.013260885295727443,1.0245066933274198,GLUT
glutarate,M9,GLUT5-5,3,0.5401857843343836,-0.0009270095687499147,0.9982868459604083,GLUT
glutarate,M9,GLUT6-5,1,0.5306082574734887,-0.010504536429644773,0.9805871593723116,GLUT
