	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_nagC_ptsP-1	proV_ptsP_wbbK-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_nagC_ptsP-2	proV_ptsP_wbbK-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_nagC_ptsP-3	proV_ptsP_wbbK-3
6.83877	0.135	0.5429999999999999	0.6920000000000001	0.366	0.929	0.7709999999999999	0.65	0.804	0.986	1.311	1.067	0.583	1.536	0.746	0.821	1.0959999999999999	1.23	1.2919999999999998	1.053	0.552	1.544	0.823	0.629	0.996	0.647	0.9440000000000001	0.534	0.51	0.8859999999999999	0.593	0.7829999999999999	0.897	0.6809999999999999	0.9329999999999999	0.685	0.643	0.795	0.52	0.727
7.0053	0.11800000000000001	0.556	0.597	0.466	1.084	0.732	0.638	0.82	1.222	1.381	0.971	0.544	1.8869999999999998	0.763	0.809	1.2229999999999999	1.215	1.5519999999999998	0.956	0.456	1.615	0.6990000000000001	0.784	1.065	0.575	0.762	0.6890000000000001	0.581	0.871	0.551	0.77	0.885	0.836	0.865	0.841	0.603	0.951	0.6759999999999999	0.715
7.17206	0.261	0.7859999999999999	0.8109999999999999	0.401	1.045	0.64	0.823	0.784	1.032	1.339	0.988	0.591	1.875	0.726	0.825	1.207	1.165	1.63	0.94	0.556	1.7409999999999999	0.7440000000000001	0.856	0.934	0.607	0.742	0.5920000000000001	0.623	0.991	0.618	0.757	0.9309999999999999	0.797	0.965	0.662	0.6729999999999999	0.883	0.525	0.674
7.33871	0.28800000000000003	0.7020000000000001	0.728	0.401	1.129	0.696	0.6559999999999999	0.784	1.1159999999999999	1.423	0.932	0.591	2.042	0.754	0.853	1.0959999999999999	1.193	1.4069999999999998	0.995	0.556	2.076	0.772	0.828	0.99	0.524	0.7979999999999999	0.5920000000000001	0.512	0.9079999999999999	0.534	0.7290000000000001	1.014	0.63	0.91	0.8290000000000001	0.59	0.9109999999999999	0.5529999999999999	0.6459999999999999
7.50537	0.866	0.951	0.825	0.303	1.25	0.7659999999999999	0.612	0.797	1.114	1.4569999999999999	1.0270000000000001	0.66	2.05	0.768	0.7809999999999999	1.297	1.109	1.8090000000000002	1.028	0.594	2.055	0.9490000000000001	0.7	0.935	0.631	0.7709999999999999	0.684	0.575	1.075	0.5660000000000001	0.848	0.914	0.78	0.8370000000000001	0.7559999999999999	0.682	0.866	0.674	0.682
7.67216	0.22399999999999998	0.9740000000000001	0.7859999999999999	0.376	1.379	0.81	0.629	0.897	1.053	1.5319999999999998	1.045	0.594	2.319	0.701	0.826	1.15	1.409	1.67	1.1320000000000001	0.473	2.38	0.8009999999999999	0.8009999999999999	1.04	0.5710000000000001	0.765	0.564	0.5670000000000001	0.958	0.5589999999999999	0.812	0.988	0.715	0.938	0.802	0.617	0.9670000000000001	0.526	0.701
7.83879	0.295	1.046	0.6940000000000001	0.36700000000000005	1.454	0.746	0.7040000000000001	0.805	1.153	1.495	1.119	0.7240000000000001	2.477	0.721	0.7340000000000001	1.251	1.203	1.517	1.122	0.547	2.51	0.8190000000000001	0.903	0.9740000000000001	0.698	0.754	0.5539999999999999	0.557	1.003	0.5760000000000001	0.775	0.895	0.789	0.9570000000000001	0.7929999999999999	0.636	1.014	0.6559999999999999	0.7190000000000001
8.0054	0.628	1.24	0.833	0.312	1.5930000000000002	0.774	0.537	0.833	1.153	1.495	1.036	0.585	2.504	0.721	0.8170000000000001	1.084	1.148	1.74	1.0659999999999998	0.519	2.676	0.792	0.792	1.141	0.643	0.9209999999999999	0.5539999999999999	0.557	0.9470000000000001	0.5760000000000001	0.775	0.895	0.845	0.873	0.765	0.552	0.875	0.5720000000000001	0.8859999999999999
8.17212	0.619	1.205	0.8909999999999999	0.508	1.7590000000000001	0.833	0.6779999999999999	0.8909999999999999	1.035	1.715	1.0090000000000001	0.532	2.725	0.862	0.763	1.138	1.0859999999999999	1.891	1.008	0.52	2.8680000000000003	0.792	0.7929999999999999	1.024	0.579	0.8320000000000001	0.5820000000000001	0.556	0.887	0.601	0.8290000000000001	0.9520000000000001	0.652	0.846	0.738	0.691	0.848	0.545	0.691
8.33884	0.21100000000000002	1.212	0.833	0.451	2.121	0.691	0.732	0.889	1.042	1.745	1.147	0.585	3.005	0.86	0.873	1.2229999999999999	1.12	1.851	1.149	0.46399999999999997	3.1489999999999996	0.736	0.737	0.946	0.643	0.754	0.721	0.557	0.9470000000000001	0.743	0.802	1.062	0.706	0.929	0.626	0.552	0.93	0.6	0.691
