	MG1655-1	rzpD-1	sspA-1	MG1655-2	rzpD-2	sspA-2	MG1655-3	rzpD-3	sspA-3
37.50856	2.9610000000000003	5.127000000000001	10.755999999999998	2.541	1.939	5.763999999999999	1.766	1.252	5.997999999999999
37.67531	2.949	4.979	11.0	2.823	2.221	5.654	1.5630000000000002	1.146	5.987
37.84203	2.779	4.852	11.064	2.7460000000000004	2.112	5.778	1.547	1.196	5.912000000000001
38.00861	2.86	5.023	10.718	2.733	2.033	5.922000000000001	1.666	1.1840000000000002	6.0920000000000005
38.17537	2.8110000000000004	5.047	10.934000000000001	2.6489999999999996	2.0469999999999997	6.037999999999999	1.742	1.1640000000000001	6.107
38.342	2.7910000000000004	4.967	11.372	2.659	2.025	5.596	1.556	1.205	6.086
38.50867	2.99	5.023	11.238	2.668	2.033	6.15	1.633	1.249	6.3839999999999995
38.67549	2.8110000000000004	4.949	11.422	2.4530000000000003	2.015	5.94	1.6769999999999998	1.196	6.27
38.84205	2.917	5.254	10.977	2.785	2.119	5.851	1.65	1.105	6.115
39.0088	2.799	5.029	11.405999999999999	2.638	2.2319999999999998	6.024	1.636	1.155	6.1610000000000005
39.17548	2.872	5.189	10.79	2.6510000000000002	1.821	5.835	1.619	1.072	6.17
39.34205	2.905	5.041	11.350999999999999	2.7430000000000003	2.011	6.358	1.6740000000000002	1.258	6.461
39.50879	2.775	5.106	11.610999999999999	2.775	1.946	5.968	1.642	1.161	6.461
39.67556	2.864	5.192	11.341	2.6710000000000003	2.037	5.959	1.766	1.252	6.452999999999999
39.84216	2.872	5.138999999999999	11.644	2.7430000000000003	2.044	6.131	1.7719999999999998	1.193	6.396
40.0088	2.685	5.167999999999999	10.898	2.755	2.023	6.2010000000000005	1.755	1.175	6.242999999999999
40.17556	2.884	5.303999999999999	11.228	2.7260000000000004	2.221	5.946000000000001	1.5630000000000002	1.2429999999999999	6.084
40.34222	2.799	5.322	11.113	2.6710000000000003	1.939	6.317	1.669	1.187	6.1610000000000005
40.50906	2.9610000000000003	5.3870000000000005	11.437999999999999	2.7680000000000002	2.037	6.154	1.734	1.187	6.681
40.67561	3.003	5.154	11.165999999999999	2.77	2.169	6.46	1.7619999999999998	1.2819999999999998	6.33
40.84218	2.9210000000000003	5.617999999999999	11.177	2.6910000000000003	2.123	6.084	1.556	1.27	6.5089999999999995
41.00898	2.925	5.233	11.052	2.76	2.126	6.186	1.591	1.273	6.774
41.17564	3.141	5.296	11.763	2.8739999999999997	2.176	6.274	1.605	1.2229999999999999	6.305
41.34231	2.917	5.319	11.432	2.655	2.0540000000000003	6.1770000000000005	1.5530000000000002	1.3	6.18
41.50903	2.888	5.455	11.08	2.7560000000000002	2.025	6.279	1.751	1.173	5.9239999999999995
41.67572	2.99	5.461	11.28	2.792	1.963	6.381	1.656	1.273	6.513
41.84239	2.986	5.26	11.47	2.7889999999999997	1.96	6.442	1.686	1.27	6.281000000000001
42.00904	3.031	5.441	11.16	2.701	1.97	6.162000000000001	1.7919999999999998	1.1159999999999999	6.7170000000000005
42.17584	3.1039999999999996	5.34	11.519	2.9739999999999998	2.0469999999999997	6.233	1.775	1.1640000000000001	6.4
42.3425	2.9130000000000003	5.394	11.209000000000001	2.8089999999999997	2.046	6.468999999999999	1.703	1.386	6.5329999999999995
42.50908	2.84	5.349	11.068	2.77	2.039	6.199	1.6969999999999998	1.217	6.525
42.6757	2.917	5.595	11.377	2.715	2.147	6.409	1.608	1.194	6.602
42.8424	3.056	5.5089999999999995	11.029000000000002	2.917	2.056	6.32	1.679	1.33	6.349
43.00922	3.011	5.296	11.306	2.8089999999999997	1.9809999999999999	6.209	1.605	1.2229999999999999	6.435
43.17586	3.056	5.183	11.388	2.885	2.056	6.516	1.777	1.232	6.447
43.34258	2.8930000000000002	5.266	11.248	2.8569999999999998	2.126	6.251	1.689	1.11	6.577999999999999
43.50917	2.9330000000000003	5.376	11.290999999999999	2.9619999999999997	2.035	6.097	1.76	1.214	6.422999999999999
43.67593	2.8280000000000003	5.281000000000001	11.42	2.885	2.056	6.385	1.712	1.2	6.5120000000000005
43.84263	3.1	5.349	11.1	2.8680000000000003	2.234	6.59	1.665	1.315	6.297000000000001
44.00922	3.109	5.654	11.175999999999998	2.679	2.0780000000000003	6.176	1.703	1.288	6.696000000000001
44.17588	2.946	5.687	11.404000000000002	2.7769999999999997	2.0780000000000003	6.567	1.605	1.2229999999999999	6.631
