	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
6.83874	1.6740000000000002	2.8510000000000004	0.32	12.437999999999999	16.074	1.4409999999999998	0.986	1.392	0.863	0.52	0.16399999999999998	13.134	7.843	1.432	0.603	1.032	0.986	0.228	0.20800000000000002	10.2	9.26	2.7260000000000004	0.672	1.506	0.88	0.9690000000000001	0.9009999999999999	0.9209999999999999	0.84	1.115	1.47	0.985	0.988	0.6890000000000001	2.017	0.6609999999999999	1.655	1.681	0.76	0.743	0.6859999999999999	2.25	0.382	1.069	1.395
7.00533	1.865	3.127	0.4	13.818	16.403	1.521	1.008	1.6909999999999998	0.852	0.395	0.27	14.315	8.26	1.3969999999999998	0.6509999999999999	1.167	1.09	0.278	0.201	10.927	11.208	2.915	0.778	1.725	0.868	0.99	0.8640000000000001	1.0270000000000001	0.919	1.052	1.633	0.835	1.177	0.7390000000000001	2.009	0.655	1.5330000000000001	1.844	0.726	0.7070000000000001	0.708	2.356	0.433	1.205	1.474
7.17209	1.8219999999999998	3.509	0.371	14.450999999999999	16.725	1.636	0.93	1.567	0.9159999999999999	0.483	0.22699999999999998	14.977	9.446	1.548	0.701	1.236	1.1159999999999999	0.26	0.128	12.239	11.753	3.022	0.878	1.626	0.765	1.089	0.937	0.894	0.8390000000000001	1.1440000000000001	1.676	0.88	1.061	0.693	2.363	0.6609999999999999	1.692	1.827	0.759	0.6659999999999999	0.828	2.396	0.551	1.1520000000000001	1.538
7.33875	1.935	4.077	0.418	14.503	17.457	1.68	0.9390000000000001	1.55	0.857	0.488	0.34	14.575	10.113999999999999	1.7519999999999998	0.746	1.237	1.212	0.349	0.271	12.324000000000002	12.944	3.4360000000000004	0.762	1.709	1.013	1.23	0.877	1.014	0.991	1.3519999999999999	1.815	0.9890000000000001	0.987	0.64	2.42	0.6990000000000001	1.7719999999999998	1.9140000000000001	0.8270000000000001	0.691	0.7809999999999999	2.682	0.364	1.2209999999999999	1.574
7.50546	1.9580000000000002	4.497	0.49	15.59	17.465999999999998	1.867	0.986	1.5619999999999998	1.062	0.52	0.249	16.002	11.619000000000002	1.801	0.688	1.3730000000000002	1.185	0.37	0.293	13.749	14.540999999999999	3.5210000000000004	0.7859999999999999	1.9880000000000002	0.795	1.253	0.872	1.034	0.982	1.286	1.896	0.985	1.159	0.6890000000000001	2.585	0.5760000000000001	1.882	2.1069999999999998	0.8170000000000001	0.743	0.7140000000000001	2.7889999999999997	0.382	1.324	1.651
7.67212	1.9409999999999998	4.765	0.413	15.523	18.28	2.046	1.024	1.611	1.08	0.621	0.261	17.157	12.145999999999999	1.8119999999999998	0.7020000000000001	1.4409999999999998	1.0859999999999999	0.466	0.276	13.995	15.668	3.535	0.769	1.915	0.87	1.151	0.884	1.044	0.991	1.409	2.1069999999999998	0.912	1.003	0.785	2.539	0.6709999999999999	1.923	2.2030000000000003	1.195	0.812	0.61	3.028	0.391	1.39	1.689
7.8388	2.036	5.228	0.4	16.514	19.156	1.975	1.065	1.776	1.192	0.48100000000000004	0.27	17.38	12.829	1.88	0.821	1.479	1.26	0.534	0.11599999999999999	14.475	15.948	3.767	0.92	2.065	0.868	1.3019999999999998	1.035	1.198	1.004	1.45	2.1430000000000002	1.006	1.092	0.8240000000000001	2.7760000000000002	0.74	1.732	2.213	1.18	0.9059999999999999	0.85	2.839	0.376	1.29	1.985
8.00537	2.0709999999999997	5.718999999999999	0.423	16.344	20.04	2.1430000000000002	1.208	2.008	1.188	0.529	0.21899999999999997	18.52	13.475	1.996	0.805	1.5130000000000001	1.3619999999999999	0.509	0.29100000000000004	15.185	16.149	4.178999999999999	0.87	2.102	1.151	1.195	0.985	1.115	1.117	1.422	2.379	1.042	1.307	0.715	2.8960000000000004	0.769	2.025	2.502	0.867	0.857	0.907	3.185	0.488	1.317	2.015
8.17213	2.149	6.022	0.485	17.365	20.746	2.23	1.15	2.003	1.192	0.708	0.242	18.147000000000002	14.135	2.135	0.878	1.621	1.345	0.392	0.172	14.958	17.026	4.476	0.778	2.151	0.953	1.331	1.035	1.198	1.004	1.6480000000000001	2.399	0.977	1.177	0.682	2.946	0.655	2.044	2.468	0.8109999999999999	0.821	0.708	3.264	0.461	1.489	1.9280000000000002
8.33869	2.072	6.968	0.348	17.833	21.043000000000003	2.2640000000000002	1.157	2.045	1.46	0.718	0.278	18.955	14.6	2.312	0.774	1.5430000000000001	1.412	0.541	0.18	16.361	16.983	4.656000000000001	0.871	2.3569999999999998	1.306	1.4809999999999999	1.128	1.205	1.095	1.712	2.6060000000000003	1.099	1.4140000000000001	0.775	3.266	0.6609999999999999	2.081	2.6180000000000003	0.902	0.8290000000000001	0.856	3.528	0.467	1.41	2.162
