	MG1655-1	IBUA2-9_1	IBUA5-6_1	IBUA7-9_1	IBUA8-3_1	pykF-1	rpoS-1	yobF-1	MG1655-2	IBUA2-9_2	IBUA5-6_2	IBUA7-9_2	IBUA8-3_2	pykF-2	rpoS-2	yobF-2	MG1655-3	IBUA2-9_3	IBUA5-6_1dup	IBUA7-9_3	IBUA8-3_3	pykF-3	rpoS-3	yobF-3	pykF_rpoS-1	pykF_yobF-1	pykF_rpoS_yobF-1	pykF_rpoS-2	pykF_yobF-2	pykF_rpoS_yobF-2	pykF_rpoS-3	pykF_yobF-3	pykF_rpoS_yobF-3
9.67235	0.574	0.22	0.38299999999999995	0.84	0.38799999999999996	1.045	1.307	0.539	4.385	0.256	0.332	0.6779999999999999	0.332	0.09300000000000001	1.07	0.222	0.327	0.22699999999999998	0.245	0.91	0.578	1.146	0.281	0.593	2.392	0.564	1.032	0.89	0.332	1.189	1.077	0.401	0.727
9.83902	0.564	0.076	0.512	0.86	0.46299999999999997	1.199	1.381	0.45	4.288	0.35600000000000004	0.488	0.752	0.35200000000000004	0.14	1.1420000000000001	0.076	0.396	0.163	0.237	0.9840000000000001	0.625	1.1909999999999998	0.217	0.662	2.298	0.44299999999999995	1.104	0.934	0.215	1.234	1.015	0.33799999999999997	0.8
10.00575	0.655	0.247	0.465	1.003	0.579	1.208	1.334	0.457	4.412	0.419	0.413	0.868	0.441	0.14800000000000002	1.2329999999999999	0.249	0.517	0.336	0.299	1.155	0.632	1.2819999999999998	0.19899999999999998	0.484	2.447	0.48200000000000004	1.2770000000000001	1.053	0.414	1.3530000000000002	1.023	0.319	0.809
10.17245	0.655	0.138	0.465	1.03	0.552	1.1540000000000001	1.47	0.376	4.5760000000000005	0.337	0.386	1.031	0.441	0.14800000000000002	1.315	0.249	0.5720000000000001	0.22699999999999998	0.218	1.291	0.66	1.228	0.281	0.511	2.365	0.536	1.2229999999999999	1.053	0.332	1.4069999999999998	1.159	0.401	0.809
10.33909	0.439	0.18899999999999997	0.568	1.2429999999999999	0.517	1.072	1.412	0.318	4.513	0.308	0.518	1.136	0.517	0.253	1.18	0.114	0.281	0.174	0.242	1.3980000000000001	0.8190000000000001	1.42	0.308	0.5489999999999999	2.484	0.49	1.226	1.055	0.331	1.3	1.183	0.426	0.835
10.50573	0.469	0.048	0.508	1.401	0.7559999999999999	1.344	1.545	0.505	4.396	0.47	0.622	1.2409999999999999	0.5379999999999999	0.139	1.345	0.361	0.371	0.231	0.293	1.723	0.8420000000000001	1.449	0.36200000000000004	0.5870000000000001	2.521	0.608	1.365	1.194	0.466	1.493	1.207	0.588	0.8059999999999999
10.67243	0.551	0.13	0.672	1.51	0.537	1.18	1.6	0.56	4.342	0.306	0.431	1.3230000000000002	0.62	0.221	1.4269999999999998	0.27899999999999997	0.45299999999999996	0.313	0.21100000000000002	1.723	0.8690000000000001	1.422	0.28	0.642	2.549	0.444	1.419	1.112	0.439	1.3840000000000001	1.207	0.5329999999999999	0.779
10.83911	0.639	0.053	0.485	1.652	0.706	1.268	1.6869999999999998	0.51	4.571000000000001	0.33899999999999997	0.518	1.575	0.57	0.145	1.3519999999999999	0.28600000000000003	0.5710000000000001	0.21	0.353	1.893	0.9840000000000001	1.51	0.28600000000000003	0.568	2.694	0.534	1.59	1.2	0.445	1.472	1.239	0.539	0.894
11.00581	0.46399999999999997	0.066	0.44299999999999995	1.883	0.772	1.2830000000000001	1.7830000000000001	0.578	4.5969999999999995	0.40700000000000003	0.366	1.834	0.637	0.158	1.3130000000000002	0.302	0.345	0.172	0.285	2.262	1.051	1.526	0.301	0.6990000000000001	2.742	0.581	1.607	1.2990000000000002	0.32299999999999995	1.516	1.253	0.636	0.8809999999999999
11.17248	0.48	0.161	0.509	2.033	0.81	1.244	1.797	0.537	4.459	0.449	0.488	2.094	0.813	0.253	1.466	0.263	0.33799999999999997	0.27	0.298	2.496	1.1740000000000002	1.5430000000000001	0.45299999999999996	0.6920000000000001	2.763	0.601	1.7890000000000001	1.3980000000000001	0.474	1.615	1.239	0.623	1.06
