evolved_compound,grown_compound,tray,strain,repl,growth_rate,exp_name
putrescine,"2,3-butanediol",4,PUTR7-1,3,0.2702706443782482,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR8-3,1,0.27163199263540616,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR8-10,2,0.07497997243639487,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-3,1,0.26995574680030693,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-9,3,0.0,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR2-6,1,0.23569942009647765,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR3-9,2,0.2197571917795133,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR4-3,3,0.1944225315572782,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR5-1,1,0.029304274948631595,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR5-8,2,0.20736653787188336,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR6-7,3,0.2652865622619751,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR7-7,1,0.1489171283329279,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR8-3,2,0.14035229302880547,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR8-10,3,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-3,2,0.3025967133576404,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR2-4,1,0.24086637490909166,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR2-6,2,0.257633093209834,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR3-9,3,0.21726342517202768,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR4-7,1,0.22289999224914167,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR5-1,2,0.0,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR5-8,3,0.18708734343020042,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR6-10,1,0.2632516212799421,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR7-7,2,0.15043073640641297,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR8-3,3,0.2708731307673912,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-3,3,0.26390542375975257,putrescine_111914
